"","initial_user","danceability","energy","speechiness","acousticness","instrumentalness","liveness","valence","track.id","cluster","label"
"3376","1122031659",0.37,0.924,0.18,0.148,0,0.349,0.461,"2mG7UWyrXQHUuvWxb6DSuE",1,"no"
"3377","lhg1996",0.317,0.84,0.0394,0.00724,2.32e-06,0.143,0.631,"1uwNegzo0PGLxnQruPHbWJ",1,"no"
"3378","lauramuntaner",0.519,0.993,0.19,7.18e-05,0.832,0.0857,0.0383,"04gZcyKnAtWv2KbCGOIzvs",9,"no"
"3379","anneta9",0.611,0.428,0.0474,0.834,0.00517,0.113,0.389,"5lIOhDGfy2lQJWWwxBm8L4",6,"no"
"3380","lauramuntaner",0.469,0.264,0.0336,0.646,0.927,0.0805,0.0639,"34dS1utLJu2IDagHWVx3Wr",2,"no"
"3381","lauramuntaner",0.387,0.677,0.084,0.00108,0.871,0.101,0.371,"7tvuLLroI0n6uYBWuFig5d",9,"no"
"3382","anneta9",0.856,0.523,0.131,0.442,0,0.0537,0.709,"6uW0PIRcyZLvkoonm763xD",7,"no"
"3383","lauramuntaner",0.323,0.331,0.0383,0.631,0.886,0.0912,0.0947,"5D8o9tGf3Dfjz7CgMxcoeI",2,"no"
"3384","lauramuntaner",0.464,0.963,0.0484,0.00161,0,0.196,0.528,"1fNrusUkEOf390YFiuamSz",1,"no"
"3385","112965605",0.72,0.608,0.0962,0.589,0.118,0.116,0.66,"01foHKHazVkkbW9hcAY2X4",7,"no"
"3386","112965605",0.584,0.465,0.0262,0.678,0,0.106,0.299,"1hCTxutVVYvggAQcUUUZAT",6,"no"
"3387","mariamcgyver",0.737,0.408,0.104,0.802,0,0.171,0.374,"7kQkmyoHCEqwe7QwDbkSXM",6,"no"
"3388","mariamcgyver",0.562,0.85,0.0609,0.0487,0,0.0912,0.581,"1t9xsch2D9URgAFWuE7kc8",1,"no"
"3389","mjordanp",0.879,0.564,0.247,0.0474,9.43e-06,0.0519,0.523,"5PQmSHzWnlgG4EBuIqjac2",4,"no"
"3390","mjordanp",0.827,0.535,0.0461,0.0262,0,0.111,0.48,"53MnFFUIhlOHnyE5aMOnZU",4,"no"
"3391","arterocristina",0.664,0.848,0.0322,0.0245,0.000127,0.172,0.502,"3LbZIhU0smEU5SUnxod4j4",1,"no"
"3392","lhg1996",0.581,0.28,0.0381,0.936,1.56e-05,0.305,0.813,"77f3aNeabAbOaSB32Sd5QE",7,"no"
"3393","mjordanp",0.686,0.701,0.0968,0.257,0.00281,0.088,0.605,"1BybndP1YgPEIk6WUnL6kT",4,"no"
"3394","mjordanp",0.835,0.626,0.125,0.0589,6e-05,0.396,0.35,"2G7V7zsVDxg1yRsu7Ew9RJ",4,"no"
"3395","mariamcgyver",0.499,0.819,0.0347,0.00577,0.00886,0.368,0.337,"29tVNOmg85qDLh2wVnJxpv",1,"no"
"3396","anneta9",0.841,0.522,0.0698,0.753,0.0281,0.109,0.543,"5bs5tYbTt8XkRKZkc2TDXd",7,"no"
"3397","mjordanp",0.607,0.42,0.0595,0.216,0,0.129,0.643,"6Ok5DivyUJjsLVUUWLzz6o",4,"no"
"3398","anneta9",0.871,0.481,0.0383,0.52,5.54e-05,0.0809,0.664,"2LsbizbOeNa4x6qsi2jAMb",7,"no"
"3399","mjordanp",0.54,0.508,0.29,0.522,1.13e-05,0.0755,0.653,"0K3dGPXHVALEqW8EEQGc3T",7,"no"
